iter	Passed	Remaining
400	20509	5063
401	20559	5012
402	20606	4959
403	20654	4908
404	20709	4857
405	20757	4805
406	20804	4753
407	20856	4702
408	20903	4650
409	20954	4599
410	21005	4548
411	21079	4502
412	21136	4452
413	21190	4401
414	21242	4350
415	21294	4299
416	21344	4248
417	21393	4196
418	21440	4144
419	21491	4093
420	21539	4041
421	21586	3989
422	21637	3938
423	21686	3887
424	21733	3835
425	21782	3783
426	21836	3733
427	21888	3682
428	21936	3630
429	21987	3579
430	22036	3527
431	22085	3476
432	22133	3424
433	22182	3373
434	22229	3321
435	22279	3270
436	22328	3218
437	22382	3168
438	22435	3117
439	22485	3066
440	22533	3014
441	22582	2963
442	22632	2912
443	22681	2860
444	22727	2808
445	22778	2757
446	22824	2706
447	22876	2655
448	22924	2603
449	22974	2552
450	23023	2501
451	23074	2450
452	23122	2398
453	23170	2347
454	23219	2296
455	23269	2245
456	23317	2194
457	23367	2142
458	23414	2091
459	23464	2040
460	23511	1989
461	23558	1937
462	23608	1886
463	23659	1835
464	23708	1784
465	23757	1733
466	23806	1682
467	23855	1631
468	23904	1580
469	23953	1528
470	24011	1478
471	24085	1428
472	24155	1378
473	24222	1328
474	24282	1278
475	24331	1226
476	24378	1175
477	24427	1124
478	24478	1073
479	24532	1022
480	24579	970
481	24628	919
482	24677	868
483	24727	817
484	24775	766
485	24827	715
486	24876	664
487	24927	612
488	24979	561
489	25028	510
490	25076	459
491	25126	408
492	25177	357
493	25229	306
494	25279	255
495	25328	204
496	25377	153
497	25426	102
498	25474	51
499	25523	0
