iter	Logloss
256	0.28122445
257	0.2810967216
258	0.2809486853
259	0.2806771753
260	0.2802466008
261	0.2800069916
262	0.2798504662
263	0.2796326131
264	0.2793640322
265	0.2792357581
266	0.2790217729
267	0.2787852509
268	0.2785984927
269	0.2783484237
270	0.2780334782
271	0.2778264423
272	0.2776881945
273	0.277451406
274	0.2773234626
275	0.2772488665
276	0.2770509094
277	0.2767559464
278	0.2762762239
279	0.2760419026
280	0.2759441666
281	0.2757921153
282	0.2755717149
283	0.2752761908
284	0.2750580556
285	0.2746935432
286	0.274484605
287	0.2743324352
288	0.2740911857
289	0.2738307134
290	0.273614498
291	0.2734084373
292	0.27330865
293	0.273110905
294	0.2728893129
295	0.2725856529
296	0.2724676265
297	0.2723020801
298	0.2721984272
299	0.2720265482
300	0.2718265576
301	0.2715454607
302	0.2713585063
303	0.2712145966
304	0.2709821708
305	0.2707796963
306	0.2706049389
307	0.270397539
308	0.2702617452
309	0.2700256185
310	0.2697756715
311	0.2695790663
312	0.2694212579
313	0.2692623362
314	0.2690654297
315	0.2688714773
316	0.2688354733
317	0.2685258256
318	0.268354786
319	0.2682150125
320	0.2679051169
321	0.2677381005
322	0.2675576167
323	0.2672986376
324	0.2671236279
325	0.2669306892
326	0.2668086555
327	0.2666456096
328	0.2665046886
329	0.2663992787
330	0.266215473
331	0.2660731277
332	0.2657380973
333	0.2655582715
334	0.2653604601
335	0.2652090982
336	0.2650376687
337	0.2647976955
338	0.264607281
339	0.2644250425
340	0.2642296941
341	0.2640765145
342	0.2638952693
343	0.2635709338
344	0.2633849049
345	0.2631675626
346	0.2629188774
347	0.2626909111
348	0.2625857796
349	0.2622956473
350	0.2621690241
351	0.2620523371
352	0.2619704471
353	0.261746694
354	0.2615270349
355	0.2613297692
356	0.2611773097
357	0.2610883046
358	0.2608348469
359	0.2606657487
360	0.2604800192
361	0.2603216501
362	0.2601859234
363	0.260133975
364	0.2599485679
365	0.2597729598
366	0.2596222751
367	0.2594868781
368	0.2592329196
369	0.2591374878
370	0.2590919666
371	0.259023119
372	0.2588618646
373	0.2587529201
374	0.2587510541
375	0.2586206124
376	0.258476168
377	0.2582930152
378	0.2581187321
379	0.2579890916
380	0.2579455978
381	0.2577918191
382	0.2575979017
383	0.2574553301
384	0.257248914
385	0.2570635638
386	0.2567966469
387	0.2565637672
388	0.2564020134
389	0.2561981683
390	0.2560027458
391	0.2557750715
392	0.2554976418
393	0.2553655219
394	0.2551376883
395	0.2550477647
396	0.2549211427
397	0.2547656471
398	0.2546806498
399	0.2545099146
400	0.2543463847
401	0.2542176918
402	0.2540189104
403	0.2538680837
404	0.2537185341
405	0.2536242508
406	0.2534356832
407	0.2532069722
408	0.2529829133
409	0.2528399118
410	0.252646841
411	0.2525902508
412	0.2523646704
413	0.2522012204
414	0.2520077625
415	0.2518805084
416	0.2517864532
417	0.2514296936
418	0.2512627165
419	0.2510697686
420	0.2510466991
421	0.2508728012
422	0.250697625
423	0.2505976899
424	0.250411605
425	0.2501284822
426	0.2498887263
427	0.2497589788
428	0.249588309
429	0.2493921973
430	0.2491575383
431	0.2489585189
432	0.248789359
433	0.2486050586
434	0.2483459607
435	0.2481255491
436	0.2479463225
437	0.247717921
438	0.2475270521
439	0.2473532849
440	0.2472212631
441	0.247050771
442	0.2469147818
443	0.2467134864
444	0.2466124665
445	0.2464619032
446	0.2464291096
447	0.2463141745
448	0.2461568808
449	0.2459762752
450	0.2458654336
451	0.2456594467
452	0.2455244907
453	0.2454515552
454	0.2453499336
455	0.24513339
456	0.2449197546
457	0.2447719894
458	0.2446497157
459	0.2445407274
460	0.2444442901
461	0.2443260134
462	0.2441069318
463	0.243883389
464	0.243682442
465	0.2435667583
466	0.2434048014
467	0.2432119642
468	0.2430400632
469	0.2428140782
470	0.2426834887
471	0.2426177694
472	0.2424180115
473	0.2422782538
474	0.2421204608
475	0.241947217
476	0.2417398551
477	0.2416034252
478	0.2414565864
479	0.2413452796
480	0.2411434628
481	0.240994809
482	0.2408257669
483	0.2406368573
484	0.2405253154
485	0.2403955556
486	0.2402944212
487	0.2401076365
488	0.2399071503
489	0.2397691384
490	0.2396202826
491	0.2395095981
492	0.2392816168
493	0.2390588635
494	0.2389320009
495	0.2387694308
496	0.2385621145
497	0.2384526066
498	0.2384025266
499	0.2381518987
