iter	Logloss
0	0.6538703377
1	0.6155481136
2	0.5879282432
3	0.5644169471
4	0.5415112152
5	0.5195829823
6	0.5033913857
7	0.4853126512
8	0.4691973805
9	0.4592402933
10	0.4470412966
11	0.4377814609
12	0.4281318466
13	0.4191071238
14	0.4102950624
15	0.4034013304
16	0.3974773513
17	0.3916317796
18	0.3876659893
19	0.3836554164
20	0.3800306791
21	0.377446641
22	0.3747410715
23	0.3717612067
24	0.3679025081
25	0.3656953378
26	0.3625348785
27	0.3593626793
28	0.3572086067
29	0.3553703797
30	0.3538057342
31	0.3519477782
32	0.3505100373
33	0.3494693904
34	0.3484807395
35	0.3470532608
36	0.3458999446
37	0.3445870747
38	0.3436115356
39	0.3422430747
40	0.3407146671
41	0.3394850557
42	0.3385187159
43	0.3377802308
44	0.3370642726
45	0.336280425
46	0.3355014183
47	0.334627428
48	0.3338561893
49	0.3332426613
50	0.3325703594
51	0.3319589561
52	0.3311462391
53	0.3304142549
54	0.3299268666
55	0.3296318591
56	0.3295718834
57	0.3292006605
58	0.3288685038
59	0.3284158505
60	0.3278127914
61	0.3275081904
62	0.3271869537
63	0.3267602308
64	0.3262845597
65	0.3255508302
66	0.3249930578
67	0.3243981035
68	0.3239549124
69	0.3235071744
70	0.3233721485
71	0.3227638097
72	0.3223063306
73	0.3219354152
74	0.3217031208
75	0.3215730843
76	0.3211006247
77	0.3208562133
78	0.3205990401
79	0.320299592
80	0.3199165662
81	0.3196177014
82	0.3193673915
83	0.3189871399
84	0.318710154
85	0.3182242328
86	0.31797408
87	0.3178258891
88	0.3175063979
89	0.3173262362
90	0.3170464301
91	0.3170140549
92	0.3169955965
93	0.3165351305
94	0.3163585277
95	0.3159015935
96	0.3155889675
97	0.315190144
98	0.3149924652
99	0.3147724637
100	0.3146140597
101	0.3144140827
102	0.3142353084
103	0.3139826113
104	0.3135488294
105	0.3135101501
106	0.3133019677
107	0.3132522878
108	0.3129506606
109	0.3128511316
110	0.3126268913
111	0.3124254828
112	0.3121476193
113	0.3119914604
114	0.3118398878
115	0.3118213592
116	0.3116061889
117	0.3113762109
118	0.3111918681
119	0.3109490612
120	0.3106205471
121	0.3103697097
122	0.3100932819
123	0.3099242856
124	0.3098340227
125	0.3094599902
126	0.3092700782
127	0.3089795183
128	0.3088781958
129	0.3087478051
130	0.3085247679
131	0.3081672146
132	0.3080403761
133	0.307864727
134	0.307446339
135	0.3073091733
136	0.3070776418
137	0.3068093435
138	0.3064842759
139	0.3064465758
140	0.3063540576
141	0.3060518712
142	0.305710727
143	0.3056393168
144	0.3053915857
145	0.3052368734
146	0.3050105452
147	0.3046042696
148	0.3043835919
149	0.3041379005
150	0.3040046278
151	0.3037777007
152	0.3037684414
153	0.3034851081
154	0.3031952934
155	0.3029951923
156	0.3027019807
157	0.3023408994
158	0.3023044122
159	0.3021586227
160	0.3018678095
161	0.3018005559
162	0.3016459469
163	0.3014539054
164	0.3012746682
165	0.3011044665
166	0.3010128818
167	0.3008018343
168	0.300601273
169	0.3005548332
170	0.3002831302
171	0.2999801959
172	0.2996477491
173	0.2995860202
174	0.2994048309
175	0.2991308465
176	0.2987784796
177	0.2987455838
178	0.2985114274
179	0.2982335054
180	0.2980163126
181	0.2977474695
182	0.2977431707
183	0.2973235842
184	0.2969200205
185	0.2966671551
186	0.296471326
187	0.2961225903
188	0.2959448959
189	0.2955619756
190	0.2953829976
191	0.295056717
192	0.2948330596
193	0.2947045576
194	0.2944945027
195	0.2943116798
196	0.2940424627
197	0.2936572498
198	0.2934219476
199	0.2932493297
200	0.2929007001
201	0.2927745372
202	0.2927325197
203	0.2924906192
204	0.2922447807
205	0.2919709646
206	0.2917462509
207	0.291592837
208	0.2913779036
209	0.2909452205
210	0.2905466131
211	0.2904307434
212	0.2901777627
213	0.2899646128
214	0.2897293062
215	0.289635696
216	0.2894016029
217	0.2892848503
218	0.2889993922
219	0.2888312006
220	0.2886106665
221	0.2883958385
222	0.2880324377
223	0.2878323425
224	0.2876491407
225	0.2873406247
226	0.2870409888
227	0.2868137487
228	0.286643208
229	0.2864955665
230	0.2863553423
231	0.2861615278
232	0.2858612781
233	0.2855922151
234	0.2854384414
235	0.2852794579
236	0.2849486066
237	0.2847590312
238	0.2846372777
239	0.2844697333
240	0.2842259779
241	0.2840735729
242	0.2839541979
243	0.2836912137
244	0.2833859404
245	0.283216023
246	0.2829665513
247	0.2827202069
248	0.2825328535
249	0.2823868496
250	0.2822667814
251	0.2821900562
252	0.2819726779
253	0.281865747
254	0.2817144353
255	0.2814587549
